Year,avg_launch_price,total_annual_price_successful_launch
1957,,
1958,,
1959,,
1960,,
1961,,
1962,,
1963,,
1964,63.0,126
1965,63.0,126
1966,59.0,177
1967,196.625,1573
1968,279.20000000000005,2792
1969,609.5,4876
1970,1160.0,1160
1971,1160.0,2320
1972,1160.0,2320
1973,1160.0,1160
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,450.0,900
1982,345.25,1381
1983,366.2,1831
1984,380.16666666666663,2281
1985,408.1,4081
1986,310.33333333333331,931
1987,1687.3333333333333,5062
1988,1193.2,5966
1989,380.83333333333337,2285
1990,289.27272727272725,3182
1991,391.42857142857144,2740
1992,319.41666666666669,3833
1993,276.74999999999994,3321
1994,221.5625,3545
1995,325.0,3250
1996,243.21428571428569,3405
1997,221.77777777777777,3992
1998,152.16666666666663,2739
1999,128.57142857142856,1800
2000,173.18749999999997,2771
2001,290.7,2907
2002,185.64705882352948,3156
2003,80.600000000000009,1612
2004,91.0,1547
2005,95.86666666666666,1438
2006,138.66666666666669,3744
2007,125.7586206896552,3647
2008,133.48148148148147,3604
2009,180.29032258064521,5589
2010,148.44827586206898,4305
2011,142.70000000000002,4281
2012,118.76923076923075,3088
2013,87.085714285714289,3048
2014,96.130434782608717,4422
2015,85.488372093023258,3676
2016,74.441176470588232,5062
2017,63.972602739726014,4670
2018,62.978494623655934,5857
2019,53.505882352941185,4548
2020,54.142857142857153,5685
2021,50.859375000000014,6510
2022,50.443037974683548,3985
