Year,Country,f0_
1957,Russia,1
1957,USA,1
1958,Russia,2
1958,USA,6
1959,Russia,1
1959,USA,6
1960,Russia,2
1960,USA,11
1961,Russia,3
1961,USA,9
1962,Russia,4
1962,USA,13
1963,Russia,6
1963,USA,9
1964,Russia,8
1964,USA,7
1965,France,1
1965,Russia,10
1965,USA,10
1966,France,1
1966,Japan,1
1966,Russia,12
1966,USA,10
1967,Australia,1
1967,France,1
1967,Italy,1
1967,Japan,1
1967,Russia,14
1967,USA,8
1968,Australia,1
1968,Russia,11
1968,USA,8
1969,Australia,1
1969,China,1
1969,Japan,1
1969,Russia,13
1969,USA,7
1970,Australia,2
1970,China,1
1970,France,1
1970,Italy,1
1970,Japan,2
1970,Russia,12
1970,USA,6
1971,Australia,1
1971,China,1
1971,France,2
1971,Italy,1
1971,Japan,2
1971,Russia,14
1971,USA,9
1972,China,1
1972,Italy,1
1972,Japan,1
1972,Russia,14
1972,USA,8
1973,China,1
1973,France,1
1973,Russia,13
1973,USA,8
1974,China,2
1974,Italy,2
1974,Japan,1
1974,Russia,14
1974,USA,6
1975,China,2
1975,France,1
1975,Italy,1
1975,Japan,2
1975,Russia,11
1975,USA,10
1976,China,2
1976,Japan,2
1976,Russia,11
1976,USA,7
1977,China,1
1977,Japan,2
1977,Russia,9
1977,USA,8
1978,China,2
1978,Japan,2
1978,Russia,8
1978,USA,8
1979,China,1
1979,France,1
1979,India,1
1979,Japan,1
1979,Russia,6
1979,USA,6
1980,France,1
1980,India,1
1980,Japan,2
1980,Russia,8
1980,USA,6
1981,China,1
1981,France,1
1981,India,1
1981,Japan,2
1981,Russia,6
1981,USA,8
1982,China,1
1982,France,1
1982,Japan,1
1982,Russia,7
1982,USA,7
1983,China,1
1983,France,1
1983,India,1
1983,Japan,2
1983,Russia,8
1983,USA,9
1984,China,2
1984,France,2
1984,Japan,2
1984,Russia,6
1984,USA,9
1985,China,1
1985,France,2
1985,Japan,1
1985,Russia,9
1985,USA,8
1986,China,2
1986,France,3
1986,Japan,2
1986,Russia,7
1986,USA,6
1987,China,1
1987,France,2
1987,India,1
1987,Japan,3
1987,Russia,8
1987,USA,5
1988,China,3
1988,France,3
1988,India,1
1988,Israel,1
1988,Italy,1
1988,Japan,1
1988,Russia,9
1988,USA,5
1989,France,4
1989,India,1
1989,Japan,2
1989,Russia,5
1989,USA,9
1990,China,4
1990,France,3
1990,Israel,1
1990,Japan,3
1990,Russia,7
1990,USA,16
1991,China,1
1991,France,4
1991,Japan,3
1991,Russia,7
1991,USA,10
1992,China,3
1992,France,3
1992,Japan,1
1992,Russia,6
1992,USA,13
1993,China,1
1993,France,5
1993,India,1
1993,Japan,1
1993,Russia,7
1993,USA,11
1994,China,4
1994,France,4
1994,India,2
1994,Japan,1
1994,Russia,7
1994,USA,18
1995,China,1
1995,France,6
1995,Israel,1
1995,Japan,2
1995,Russia,8
1995,USA,17
1996,China,3
1996,France,5
1996,India,1
1996,Japan,1
1996,Russia,6
1996,USA,17
1997,Brazil,1
1997,China,4
1997,France,5
1997,India,1
1997,Japan,2
1997,Russia,8
1997,USA,17
1998,China,2
1998,France,7
1998,Israel,1
1998,Japan,2
1998,North Korea,1
1998,Russia,6
1998,USA,19
1999,Brazil,1
1999,China,3
1999,France,5
1999,India,1
1999,Japan,1
1999,Russia,7
1999,USA,20
2000,China,2
2000,France,5
2000,Japan,1
2000,Russia,7
2000,USA,18
2001,China,1
2001,France,4
2001,India,2
2001,Japan,1
2001,Russia,7
2001,USA,15
2002,China,3
2002,France,5
2002,India,1
2002,Israel,1
2002,Japan,2
2002,Russia,5
2002,USA,13
2003,Brazil,1
2003,China,6
2003,France,2
2003,India,2
2003,Japan,2
2003,Russia,6
2003,USA,13
2004,China,4
2004,France,1
2004,India,1
2004,Israel,1
2004,Russia,8
2004,USA,11
2005,China,4
2005,France,2
2005,India,1
2005,Japan,2
2005,Russia,6
2005,USA,10
2006,China,5
2006,France,1
2006,India,1
2006,Japan,5
2006,Russia,8
2006,USA,13
2007,China,7
2007,France,2
2007,India,3
2007,Israel,1
2007,Japan,2
2007,Russia,5
2007,USA,14
2008,China,8
2008,France,2
2008,India,2
2008,Iran,1
2008,Japan,1
2008,Russia,6
2008,USA,11
2009,France,2
2009,India,1
2009,Iran,1
2009,Japan,2
2009,North Korea,1
2009,Russia,6
2009,South Korea,1
2009,USA,17
2010,France,1
2010,India,3
2010,Israel,1
2010,Japan,1
2010,Russia,6
2010,South Korea,1
2010,USA,11
2011,China,2
2011,France,4
2011,India,3
2011,Iran,1
2011,Japan,2
2011,Russia,6
2011,USA,16
2012,China,1
2012,France,5
2012,India,2
2012,Iran,2
2012,Japan,2
2012,North Korea,1
2012,Russia,2
2012,USA,10
2013,China,2
2013,France,4
2013,India,2
2013,Japan,3
2013,Russia,7
2013,South Korea,1
2013,USA,12
2014,China,1
2014,France,5
2014,India,4
2014,Israel,1
2014,Japan,1
2014,Russia,6
2014,USA,8
2015,China,2
2015,France,3
2015,India,3
2015,Iran,1
2015,Japan,3
2015,Russia,4
2015,USA,11
2016,China,12
2016,France,5
2016,India,3
2016,Israel,1
2016,Japan,3
2016,North Korea,1
2016,Russia,8
2016,USA,15
2017,China,11
2017,France,5
2017,India,3
2017,Iran,1
2017,Japan,3
2017,New Zealand,1
2017,Russia,10
2017,USA,11
2018,China,12
2018,France,6
2018,India,4
2018,Japan,4
2018,New Zealand,1
2018,Russia,10
2018,USA,14
2019,China,15
2019,France,5
2019,India,5
2019,Iran,2
2019,Japan,2
2019,New Zealand,1
2019,Russia,9
2019,USA,12
2020,China,16
2020,France,3
2020,India,2
2020,Iran,2
2020,Israel,1
2020,Japan,2
2020,New Zealand,2
2020,Russia,6
2020,USA,14
2021,China,15
2021,France,3
2021,India,2
2021,Iran,2
2021,Japan,3
2021,New Zealand,2
2021,Russia,9
2021,South Korea,1
2021,USA,14
2022,China,15
2022,France,3
2022,India,2
2022,Iran,1
2022,New Zealand,2
2022,Russia,5
2022,South Korea,1
2022,USA,8
